label,cycle,idx,question,ttft_s,total_s,out_tokens
vllm-metal-long,1,57,Which suppliers had the most quality complaints last quarter?,2.0043,8.4173,86
vllm-metal-long,1,58,Calculate the average days between first order and second order per customer.,3.5687,10.6024,87
vllm-metal-long,1,59,Find products whose price changed more than 3 times in the past year.,5.0357,13.1581,90
vllm-metal-long,1,60,Show revenue by sales channel for the current quarter.,12.8878,36.4649,96
vllm-metal-long,2,61,Show top 5 customers by total order amount in the last 30 days.,10.1756,17.5906,70
vllm-metal-long,2,62,List the 10 most popular products by total quantity sold.,1.602,5.4286,55
vllm-metal-long,2,63,What is the average order value per month for the past year?,0.8688,5.0639,66
vllm-metal-long,2,64,Which suppliers have shipped the most orders?,1.9453,8.6784,87
vllm-metal-long,2,65,Find customers who have not placed any order in the last 90 days.,9.31,15.2048,43
vllm-metal-long,2,66,Show daily revenue trend for the past 14 days.,1.4458,6.1814,68
vllm-metal-long,2,67,What is the total inventory value grouped by category?,1.8013,6.6702,66
vllm-metal-long,2,68,List the top 3 sales reps by total revenue closed.,1.8303,9.1705,96
vllm-metal-long,2,69,Which products have the highest return rate?,1.1402,4.3901,51
vllm-metal-long,2,70,"Show the conversion rate from quote to order, monthly.",1.2346,7.116,96
vllm-metal-long,2,71,Find duplicate customer records based on email.,0.7831,7.0993,93
vllm-metal-long,2,72,Calculate gross margin per product category.,1.2441,4.7542,59
vllm-metal-long,2,73,Which regions had the highest YoY growth?,0.6378,6.1294,96
vllm-metal-long,2,74,Show orders that took longer than 5 days to ship.,0.8744,3.4222,36
vllm-metal-long,2,75,List products with stock below reorder threshold.,0.5883,3.1858,49
vllm-metal-long,2,76,What is the customer lifetime value distribution?,1.1793,6.2654,69
vllm-metal-long,2,77,Show the cohort retention by signup month.,4.126,17.0525,95
vllm-metal-long,2,78,Find sales reps whose performance dropped in Q4 vs Q3.,12.43,21.8445,77
vllm-metal-long,2,79,Which discount campaigns drove the most incremental revenue?,10.4015,22.287,91
vllm-metal-long,2,80,List orders that combine more than 3 product categories.,16.7692,25.0896,93
vllm-metal-long,2,81,What is the median order processing time per warehouse?,7.9399,16.4381,82
vllm-metal-long,2,82,Show the top 10 highest-revenue customers and their primary product category.,5.3953,14.5679,90
vllm-metal-long,2,83,Which product pairs are most often bought together?,1.3779,9.0881,94
vllm-metal-long,2,84,What is the cancellation rate per payment method?,1.1354,6.8788,69
vllm-metal-long,2,85,Find orders shipped to a different country than the billing address.,1.0934,7.9759,88
vllm-metal-long,2,86,Show monthly active customers vs new customers.,9.1015,14.4419,92
vllm-metal-long,2,87,Which suppliers had the most quality complaints last quarter?,1.637,8.6602,86
vllm-metal-long,2,88,Calculate the average days between first order and second order per customer.,1.7155,10.817,87
vllm-metal-long,2,89,Find products whose price changed more than 3 times in the past year.,9.3522,16.0881,94
vllm-metal-long,2,90,Show revenue by sales channel for the current quarter.,1.9759,9.6071,94
